종목코드,종목명,언론사URL,작성일자,제목,기사부분,네이버링크,카테고리
005930,삼성전자,www.yna.co.kr,2024-03-13 10:39:00,"삼성전자 Neo QLED 8K, 3세대 AI TV 출시",13일 서울 서초구 삼성전자 서초사옥에서 열린 삼성전자 'Unbox & Discover 2024'에서 모델들이 신제품을 소개하고 있다. 2024.3.13,https://n.news.naver.com/mnews/article/001/0014559688?sid=105,신제품출시
005380,현대차,www.joongang.co.kr,2024-03-12 18:33:00,현대차∙기아 전기차 17만대 리콜...2021년 첫 전기차 출시후 최대 규모,현대차와 기아는 이번 리콜을 통해 오류가 확인된 전기차 내 통합충전제어장치(ICCU)를 교체할 예정이다. 국내 리콜 대상 차량은 17만대에 이를 것으로 보인다. 이와 동시에 현대차그룹은 북미와 유럽 등 주요 전기차... ,https://n.news.naver.com/mnews/article/025/0003346879?sid=101,규제승인
035420,NAVER,kpenews.com,2024-03-12 14:24:00,"두나무, 가상자산 수익률 향상 지원..신규 ‘BTC-ETH 듀오 전략 지수’ 출시",한국정경신문 하재인 기­자 hajaeinn@naver.com [한국정경신문=하재인 기자] 두나무가 가상자산 수익률을 향상시킬 수 있는 방안을 지원한다.두나무는 가상자산지수서비스 UBCI에 신규 ‘BTC-ETH 듀오 전략 지수(인덱스)... ,http://kpenews.com/View.aspx?No=3157673,신제품출시
066570,LG전자,www.sedaily.com,2024-03-13 13:24:00,'AI TV' 맞불 LG전자…2024년형 올레드·QNED TV 출시,LG전자(066570)가 인공지능(AI) 성능을 강화한 2024년형 올레드 TV와 QNED TV를 국내에 출시한다고 13일 밝혔다. LG전자의 올해 올레드 TV 라인업은 △선명한 화질의 올레드 에보(M4·G4·C4) △일반형 올레드 TV(B4)... ,https://n.news.naver.com/mnews/article/011/0004312530?sid=101,신제품출시
003550,LG,www.busan.com,2024-03-13 10:01:00,2024년형 LG 올레드·QNED TV 본격 출시,LG전자는 2024년형 LG 올레드 TV와 LG QNED TV를 13일부터 국내 본격 출시했다. LG전자는 2024년형 LG 올레드 에보와 QNED 에보 등 LG TV 신제품을 13일부터 자사 홈페이지에서 판매한다. 오는 20일부터는 LG전자 베스트샵... ,https://n.news.naver.com/mnews/article/082/0001259929?sid=101,신제품출시
034730,SK,www.etoday.co.kr,2024-03-12 11:18:00,"SK C&C, AI ‘솔루어(Solur)’ 출시…“AI 서비스 기업 될 것” 비전 발표",선 SK C&C가 기업 맞춤형 새로운 AI 솔루션 '솔루어'를 공개했다. SK C&C는 12일 서울 그랜드 인터컨티넨탈 파르나스 호텔에서 기업 맞춤형 엔터프라이즈 AI로 기업의 업무 혁신과 비즈니스 가치 창출을 이끄는... ,https://www.etoday.co.kr/news/view/2339338,신제품출시
028300,HLB,www.gukjenews.com,2024-03-13 09:50:00,HLB 그룹주 일제히 상승...'간암신약' 美 FDA 승인 기대감,"HLB 로고 HLB(에이치엘비) 그룹주가 일제히 상승하고 있다. 13일 오전 9시 35분 기준 HLB는 1.70%(1700원) 상승한 10만 1800원에, HLB생명과학은 3.65%(590원) 상승한 1만 6770원에 거래 중이다. HLB글로벌은 0.46%(30원) 상승한... ",https://www.gukjenews.com/news/articleView.html?idxno=2942427,신약개발
259960,크래프톤,www.cstimes.com,2024-03-13 13:34:00,"크래프톤, '스매시 레전드' 신규 레전드 피노키오 출시",컨슈머타임스=곽민구 기자 | 크래프톤은 실시간 PvP 액션 게임 '스매시 레전드(SMASH LEGENDS)'의 업데이트를 진행하고 신규 레전드 '피노키오'를 출시했다고 13일 밝혔다. 스매시 레전드의 39번째 레전드인 피노키오는... ,https://www.cstimes.com/news/articleView.html?idxno=583162,신제품출시
011200,HMM,www.investchosun.com,2024-03-13 07:02:00,[Invest]HMM 대신 아시아나라도…인수금융 기회 노리는 은행권,하림그룹의 HMM 매각 무산으로 아쉬워했던 국내 시중은행들이 아시아나항공 화물사업부 인수전에서 새 기회를 찾고 있다. HMM 인수 후보였던 LX·하림·동원 등은 이번엔 아시아나 화물사업 원매자인 LCC(저비용항공사)... ,http://www.investchosun.com/site/data/html_dir/2024/03/12/2024031280165.html,인수합병
003490,대한항공,www.kukinews.com,2024-03-13 06:04:00,대한항공·아시아나 합병에…“고객 서비스 하락 불가피”,"대한항공은 지난 2021년부터 기업결합 심사를 진행, 최근 일본과 유럽연합(EU)을 비롯한 13개국에서 심사를 완료했다. 미 DOJ 승인만 얻어내면 최종 절차를 마무리하게 된다. 연합뉴스 대한항공과 아시아나항공의 기업결합... ",http://www.kukinews.com/newsView/kuk202403120294,인수합병
