종목코드,종목명,언론사URL,작성일자,제목,네이버링크,카테고리
383930,디티앤씨알오,www.hitnews.co.kr,2024-03-22 06:02:00,"[HIT알공] 쎌바이오텍, 대장암 치료제 임상 1상 승인",http://www.hitnews.co.kr/news/articleView.html?idxno=53318,규제승인
072870,메가스터디,news.kbs.co.kr,2024-03-22 07:51:00,"공정위, 메가스터디의 공단기 인수 ‘불허’…“경쟁 제한 우려”",https://n.news.naver.com/mnews/article/056/0011686437?sid=101,규제승인
086820,바이오솔루션,www.edaily.co.kr,2024-03-22 12:41:00,"아미코젠, 국내 최초 바이오의약용 배지 공장 준공 승인",https://n.news.naver.com/mnews/article/018/0005698145?sid=101,규제승인
335890,비올,www.newsprime.co.kr,2024-03-22 17:10:00,"비올 '실펌엑스', '아시아 최대 시장' 中도 뚫었다…NMPA 승인 획득",http://www.newsprime.co.kr/news/article.html?no=632990,규제승인
005930,삼성전자,www.labortoday.co.kr,2024-03-22 18:18:00,삼성전자 노동자 건강손상자녀 '산재' 승인,http://www.labortoday.co.kr/news/articleView.html?idxno=220608,규제승인
331920,셀레믹스,www.hitnews.co.kr,2024-03-22 06:02:00,"[HIT알공] 쎌바이오텍, 대장암 치료제 임상 1상 승인",http://www.hitnews.co.kr/news/articleView.html?idxno=53318,규제승인
299660,셀리드,www.yakup.com,2024-03-22 11:56:00,"셀리드, 국가신약개발사업단 'CMC 전략컨설팅 지원사업' 협약",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=292087,규제승인
049960,쎌바이오텍,www.hitnews.co.kr,2024-03-22 06:02:00,"[HIT알공] 쎌바이오텍, 대장암 치료제 임상 1상 승인",http://www.hitnews.co.kr/news/articleView.html?idxno=53318,규제승인
092040,아미코젠,www.medipana.com,2024-03-22 10:02:00,"아미코젠, 국내 최초 바이오의약용 배지 공장 준공승인",https://www.medipana.com/article/view.php?news_idx=324264&sch_cate=D,규제승인
036220,오상헬스케어,www.yna.co.kr,2024-03-22 13:48:00,"오상헬스케어, 코로나·독감 콤보키트 FDA 긴급사용승인",https://n.news.naver.com/mnews/article/001/0014582313?sid=102,규제승인
226950,올릭스,www.medipana.com,2024-03-22 06:12:00,"FDA, 세계 첫 MASH 치료제 승인…국내 제약바이오 개발 현황은?",https://www.medipana.com/article/view.php?news_idx=324240&sch_cate=D,규제승인
082270,젬백스,www.hitnews.co.kr,2024-03-22 06:02:00,"[HIT알공] 쎌바이오텍, 대장암 치료제 임상 1상 승인",http://www.hitnews.co.kr/news/articleView.html?idxno=53318,규제승인
144510,지씨셀,www.bosa.co.kr,2024-03-22 10:34:00,"국민연금, 지씨셀 보수한도승인 '반대'",http://www.bosa.co.kr/news/articleView.html?idxno=2219095,규제승인
041960,코미팜,www.hitnews.co.kr,2024-03-22 06:02:00,"[HIT알공] 쎌바이오텍, 대장암 치료제 임상 1상 승인",http://www.hitnews.co.kr/news/articleView.html?idxno=53318,규제승인
021240,코웨이,www.bloter.net,2024-03-22 16:36:00,"코웨이, 화장품 사업 분할 승인…100% 자회사로 경영효율화",https://n.news.naver.com/mnews/article/293/0000052829?sid=105,규제승인
199800,툴젠,www.moneys.co.kr,2024-03-22 17:56:00,"美 특허청, 툴젠 특허 승인 철회… '저촉심사'가 원인",https://n.news.naver.com/mnews/article/417/0000991011?sid=101,규제승인
039340,한국경제TV,www.wowtv.co.kr,2024-03-22 21:42:00,"'젠슨 황 승인' 사인 받은 삼성전자, 8만전자 가능할까 [돈보기]",https://n.news.naver.com/mnews/article/215/0001154158?sid=101,규제승인
028300,HLB,www.smarttoday.co.kr,2024-03-22 09:14:00,"진양곤 HLB, 간암 신약 모멘텀도 주주배정 유상증자 앞에 고개 푹",https://www.smarttoday.co.kr/news/articleView.html?idxno=46170,신약개발
067630,HLB생명과학,www.smarttoday.co.kr,2024-03-22 09:14:00,"진양곤 HLB, 간암 신약 모멘텀도 주주배정 유상증자 앞에 고개 푹",https://www.smarttoday.co.kr/news/articleView.html?idxno=46170,신약개발
046210,HLB파나진,www.smarttoday.co.kr,2024-03-22 09:14:00,"진양곤 HLB, 간암 신약 모멘텀도 주주배정 유상증자 앞에 고개 푹",https://www.smarttoday.co.kr/news/articleView.html?idxno=46170,신약개발
009070,KCTC,www.newslock.co.kr,2024-03-22 10:08:00,"쎌바이오텍, 마이크로바이옴 대장암 신약 'PP-P8' 임상 1상 IND 승인",http://www.newslock.co.kr/news/articleView.html?idxno=88748,신약개발
328130,루닛,www.edaily.co.kr,2024-03-22 10:01:00,"루닛, 암 정복 AI 플랫폼 기업 도약 위해 M&A 지속…실탄 마련",https://n.news.naver.com/mnews/article/018/0005697969?sid=105,신약개발
086820,바이오솔루션,it.chosun.com,2024-03-22 10:42:00,"아미코젠, 국내 첫 바이오의약용 배지 공장 준공승인",https://it.chosun.com/news/articleView.html?idxno=2023092112341,신약개발
238200,비피도,www.the-stock.kr,2024-03-22 17:02:00,"[기업뉴스 브리핑] 아미코젠, 국내 최초 바이오의약용 배지 공장 준공 승인 外",http://www.the-stock.kr/news/articleView.html?idxno=19912,신약개발
299660,셀리드,www.the-stock.kr,2024-03-22 17:02:00,"[기업뉴스 브리핑] 아미코젠, 국내 최초 바이오의약용 배지 공장 준공 승인 外",http://www.the-stock.kr/news/articleView.html?idxno=19912,신약개발
002870,신풍,www.pinpointnews.co.kr,2024-03-22 03:44:00,[시간외 특징주] 신풍제약우 주가 급등...글로벌 신약개발 총력,https://www.pinpointnews.co.kr/news/articleView.html?idxno=253630,신약개발
019170,신풍제약,www.pinpointnews.co.kr,2024-03-22 03:44:00,[시간외 특징주] 신풍제약우 주가 급등...글로벌 신약개발 총력,https://www.pinpointnews.co.kr/news/articleView.html?idxno=253630,신약개발
019175,신풍제약우,www.pinpointnews.co.kr,2024-03-22 03:44:00,[시간외 특징주] 신풍제약우 주가 급등...글로벌 신약개발 총력,https://www.pinpointnews.co.kr/news/articleView.html?idxno=253630,신약개발
049960,쎌바이오텍,www.enewstoday.co.kr,2024-03-22 11:00:00,"쎌바이오텍, 대장암 신약 'PP-P8' 임상 1상 IND 승인",http://www.enewstoday.co.kr/news/articleView.html?idxno=2105077,신약개발
092040,아미코젠,www.edaily.co.kr,2024-03-22 12:41:00,"아미코젠, 국내 최초 바이오의약용 배지 공장 준공 승인",https://n.news.naver.com/mnews/article/018/0005698145?sid=101,신약개발
260660,알리코제약,www.wowtv.co.kr,2024-03-22 16:09:00,"알리코제약-동국대학교, 신약 공동개발 MOU",https://n.news.naver.com/mnews/article/215/0001154119?sid=101,신약개발
129890,앱코,www.pinpointnews.co.kr,2024-03-22 07:54:00,메디프론 주가 훨훨...바이오 신약사업 등 대박 '정조준',https://www.pinpointnews.co.kr/news/articleView.html?idxno=253672,신약개발
045660,에이텍,www.pinpointnews.co.kr,2024-03-22 07:54:00,메디프론 주가 훨훨...바이오 신약사업 등 대박 '정조준',https://www.pinpointnews.co.kr/news/articleView.html?idxno=253672,신약개발
354200,엔젠바이오,www.the-stock.kr,2024-03-22 17:02:00,"[기업뉴스 브리핑] 아미코젠, 국내 최초 바이오의약용 배지 공장 준공 승인 外",http://www.the-stock.kr/news/articleView.html?idxno=19912,신약개발
003520,영진약품,www.dailypharm.com,2024-03-22 14:24:00,"영진약품, 바스젠바이오와 신약개발 맞손…R&D 강화",https://www.dailypharm.com/Users/News/NewsView.html?ID=310020&REFERER=NP,신약개발
003120,일성신약,www.dailypharm.com,2024-03-22 10:32:00,"﻿일성신약, 일성아이에스로 사명 변경…천억 속도",https://www.dailypharm.com/Users/News/NewsView.html?ID=309831&REFERER=NP,신약개발
365270,큐라클,view.asiae.co.kr,2024-03-22 08:38:00,"큐라클, 궤양성대장염 신약 임상 2상 신청…8월 시작 목표",https://n.news.naver.com/mnews/article/277/0005395693?sid=101,신약개발
388870,파로스아이바이오,www.fnnews.com,2024-03-22 13:10:00,"[특징주]파로스아이바이오, 엔비디아 신약발견 생성형 AI 공개..AI 신약 공동...",https://n.news.naver.com/mnews/article/014/0005160342?sid=101,신약개발
002390,한독,www.the-stock.kr,2024-03-22 17:02:00,"[기업뉴스 브리핑] 아미코젠, 국내 최초 바이오의약용 배지 공장 준공 승인 外",http://www.the-stock.kr/news/articleView.html?idxno=19912,신약개발
256150,한독크린텍,www.the-stock.kr,2024-03-22 17:02:00,"[기업뉴스 브리핑] 아미코젠, 국내 최초 바이오의약용 배지 공장 준공 승인 外",http://www.the-stock.kr/news/articleView.html?idxno=19912,신약개발
058820,CMG제약,www.docdocdoc.co.kr,2024-03-22 06:38:00,"CMG제약, '아워팜'과 약국 전용 어린이 건기식 출시",http://www.docdocdoc.co.kr/news/articleView.html?idxno=3015671,신제품출시
383220,F&F,www.apparelnews.co.kr,2024-03-22 09:24:00,"MLB 키즈, 24SS ‘빅볼 청키 마스크’ 출시",http://www.apparelnews.co.kr/news/news_view/?idx=210407,신제품출시
007070,GS리테일,news.mt.co.kr,2024-03-22 09:43:00,"대원미디어, GS리테일과 '네모바지 스폰지밥' 상품 출시",https://n.news.naver.com/mnews/article/008/0005015529?sid=101,신제품출시
046440,KG모빌리언스,www.pressman.kr,2024-03-22 09:10:00,"KG모빌리언스, 가맹점 맞춤형 'URL결제' 서비스 출시",https://www.pressman.kr/news/articleView.html?idxno=79166,신제품출시
093050,LF,www.dailian.co.kr,2024-03-22 10:37:00,"LF 마에스트로, 편집샵 랜덤워크와 콜라보 컬렉션 출시",https://n.news.naver.com/mnews/article/119/0002812293?sid=101,신제품출시
003550,LG,www.newsis.com,2024-03-22 10:00:00,"LG 휘센 뷰 에어컨 출시…""쉽게 열어 내부까지 관리""",https://n.news.naver.com/mnews/article/003/0012443903?sid=101,신제품출시
051900,LG생활건강,www.fntoday.co.kr,2024-03-22 11:36:00,"LG생활건강, 반짝이는 피니시의 플럼핑 '구찌 글로스 아 레브르' 출시",http://www.fntoday.co.kr/news/articleView.html?idxno=316602,신제품출시
066570,LG전자,www.edaily.co.kr,2024-03-22 10:01:00,"LG전자, 더 똑똑한 ‘인테리어’ 에어컨 ‘LG 휘센 뷰’ 출시",https://n.news.naver.com/mnews/article/018/0005697971?sid=101,신제품출시
160550,NEW,www.sisunnews.co.kr,2024-03-22 13:40:00,"2024 NEW 디올 어딕트 립스틱 출시, ""5가지 새로운 파스텔 컬러와 3가지 패션...",http://www.sisunnews.co.kr/news/articleView.html?idxno=208500,신제품출시
034730,SK,www.mk.co.kr,2024-03-22 11:15:00,"SK브로드밴드, B tv에 수면 콘텐츠 출시",https://n.news.naver.com/mnews/article/009/0005276573?sid=105,신제품출시
017670,SK텔레콤,www.hansbiz.co.kr,2024-03-22 08:02:00,"SK텔레콤, B2B 서비스 출시로 'AI 사업' 속도 낸다",http://www.hansbiz.co.kr/news/articleView.html?idxno=685529,신제품출시
001570,금양,www.news1.kr,2024-03-22 10:12:00,"금양인터내셔날, 뉴질랜드 명품와인 '크래기 레인지' 출시",https://n.news.naver.com/mnews/article/421/0007429280?sid=101,신제품출시
000270,기아,www.newsis.com,2024-03-22 11:19:00,"광주은행, 기아타이거즈 'V12 우승' 기원…예·적금 출시",https://n.news.naver.com/mnews/article/003/0012444198?sid=101,신제품출시
003920,남양유업,www.newsfreezone.co.kr,2024-03-22 17:06:00,"남양유업, 단백질 음료 '테이크핏 프로' 2종 출시",https://www.newsfreezone.co.kr/news/articleView.html?idxno=556353,신제품출시
095660,네오위즈,www.newsworks.co.kr,2024-03-22 10:04:00,[#게임스테이션] '아스달 연대기' 4월 24일 출시·'패스 오브 엑자일 2' 홈피...,http://www.newsworks.co.kr/news/articleView.html?idxno=747443,신제품출시
153460,네이블,www.sisunnews.co.kr,2024-03-22 16:22:00,"퍼지네이블, 2024 봄맞이 시즌 한정 칵테일 3종 출시",http://www.sisunnews.co.kr/news/articleView.html?idxno=208523,신제품출시
217270,넵튠,www.inews24.com,2024-03-22 14:48:00,"넵튠 '우르르용병단', 출시 1년만에 누적 이용자 600만 돌파",https://n.news.naver.com/mnews/article/031/0000822585?sid=105,신제품출시
251270,넷마블,www.newsis.com,2024-03-22 13:52:00,"넷마블, '아스달 연대기' 4월24일 한국·대만·홍콩·마카오 출시",https://n.news.naver.com/mnews/article/003/0012444550?sid=105,신제품출시
104620,노랑풍선,www.mk.co.kr,2024-03-22 16:30:00,"“여보야! 우리 괌 갈까?” 노랑풍선, 부산 출발 노옵션·노쇼핑 상품 출시",https://n.news.naver.com/mnews/article/009/0005276742?sid=103,신제품출시
004370,농심,www.mk.co.kr,2024-03-22 10:10:00,신동원 농심 회장 “라면 수출 전용 공장 국내 건설 추진…라면 가격 인하는 ...,https://n.news.naver.com/mnews/article/009/0005276503?sid=103,신제품출시
007680,대원,news.mt.co.kr,2024-03-22 09:43:00,"대원미디어, GS리테일과 '네모바지 스폰지밥' 상품 출시",https://n.news.naver.com/mnews/article/008/0005015529?sid=101,신제품출시
048910,대원미디어,news.mt.co.kr,2024-03-22 09:43:00,"대원미디어, GS리테일과 '네모바지 스폰지밥' 상품 출시",https://n.news.naver.com/mnews/article/008/0005015529?sid=101,신제품출시
294140,레몬,www.news1.kr,2024-03-22 10:05:00,"SPC 배스킨라빈스, 블렌딩 티 음료 '티 블라스트' 3종 출시",https://n.news.naver.com/mnews/article/421/0007429259?sid=101,신제품출시
377480,마음AI,dealsite.co.kr,2024-03-22 15:42:00,"[재계는 지금] LG전자, AI 스마트케어 탑재 '휘센 뷰' 출시 外",https://dealsite.co.kr/articles/119934,신제품출시
005360,모나미,www.mk.co.kr,2024-03-22 11:56:00,모나미 X 오닐(O’NEILL) 협업 컬렉션 출시…153 볼펜으로 구현한 펜 드로잉 ...,https://n.news.naver.com/mnews/article/009/0005276614?sid=101,신제품출시
417970,모델솔루션,www.lawissue.co.kr,2024-03-22 20:14:00,"SGC솔루션, ‘오펫 스타터키트’ 출시",http://www.lawissue.co.kr/view.php?ud=20240322201110131204ead0791_12,신제품출시
006800,미래에셋증권,www.digitaltoday.co.kr,2024-03-22 15:28:00,"미래에셋증권, 다이렉트 인덱싱 '웰스테크' 출시 예정",https://www.digitaltoday.co.kr/news/articleView.html?idxno=510703,신제품출시
301300,바이브컴퍼니,dealsite.co.kr,2024-03-22 15:42:00,"[재계는 지금] LG전자, AI 스마트케어 탑재 '휘센 뷰' 출시 外",https://dealsite.co.kr/articles/119934,신제품출시
005180,빙그레,www.news1.kr,2024-03-22 09:32:00,"빙그레, 식물성 음료 '식물성 바유' 리뉴얼 출시",https://n.news.naver.com/mnews/article/421/0007429147?sid=101,신제품출시
005930,삼성전자,www.nocutnews.co.kr,2024-03-22 15:24:00,"삼성전자, 세탁건조기 신제품 2종 출시…'풀 라인업'으로 공세",https://n.news.naver.com/mnews/article/079/0003876980?sid=101,신제품출시
005935,삼성전자우,www.munhwa.com,2024-03-22 11:55:00,일체형부터 결합형까지 ‘맞춤’ … 삼성 ‘신상 건조기’ 잇단 출시,https://n.news.naver.com/mnews/article/021/0002627995?sid=101,신제품출시
004690,삼천리,www.etoday.co.kr,2024-03-22 15:50:00,성능 강화해 가성비↑…올해 국내 전기자전거 신제품은,https://www.etoday.co.kr/news/view/2343174,신제품출시
024950,삼천리자전거,www.etoday.co.kr,2024-03-22 15:50:00,성능 강화해 가성비↑…올해 국내 전기자전거 신제품은,https://www.etoday.co.kr/news/view/2343174,신제품출시
000390,삼화페인트,news.heraldcorp.com,2024-03-22 10:47:00,"<신제품·신기술>삼화페인트, 부식효과 내는 바닥재 출시",https://n.news.naver.com/mnews/article/016/0002284242?sid=101,신제품출시
004080,신흥,www.edaily.co.kr,2024-03-22 10:12:00,"하림, 더미식 장인라면 맵싸한 맛 출시…매운맛 라면 시장 도전장",https://n.news.naver.com/mnews/article/018/0005698001?sid=101,신제품출시
012750,에스원,www.economytalk.kr,2024-03-22 14:14:00,"에스원, 중소기업 보안 원스톱 솔루션 출시",http://www.economytalk.kr/news/articleView.html?idxno=252498,신제품출시
096690,에이루트,www.newsis.com,2024-03-22 10:57:00,"에이루트, 샤오미 최신 스마트폰 '레드미 노트 13' 출시",https://n.news.naver.com/mnews/article/003/0012444112?sid=101,신제품출시
078520,에이블씨엔씨,www.dailian.co.kr,2024-03-22 16:10:00,"에이블씨엔씨 셀라피, '에이리페어 데일리 수딩 선크림' 출시",https://n.news.naver.com/mnews/article/119/0002812433?sid=101,신제품출시
039830,오로라,www.sisunnews.co.kr,2024-03-22 13:50:00,"견미리 팩트, 티니올 '오로라 에디션' 출시",http://www.sisunnews.co.kr/news/articleView.html?idxno=208504,신제품출시
016880,웅진,www.news1.kr,2024-03-22 08:31:00,"웅진식품, 제로 칼로리 말린 음료 '자연은 더 말린 배·리치' 출시",https://n.news.naver.com/mnews/article/421/0007429023?sid=101,신제품출시
123420,위메이드플레이,zdnet.co.kr,2024-03-22 08:38:00,"위메이드 '판타스틱 베이스볼', 글로벌 정식 출시",https://n.news.naver.com/mnews/article/092/0002325426?sid=105,신제품출시
047560,이스트소프트,www.yna.co.kr,2024-03-22 09:38:00,"이스트소프트, 역사 커뮤니케이터 최태성 AI 휴먼 출시",https://n.news.naver.com/mnews/article/001/0014581610?sid=105,신제품출시
189300,인텔리안테크,www.newspim.com,2024-03-22 07:00:00,"인텔리안테크, 내달 평판형 안테나 출시...""지상·모바일용으로 포트폴리오 확...",https://www.newspim.com/news/view/20240321001241,신제품출시
003120,일성신약,www.medisobizanews.com,2024-03-22 14:06:00,일성신약→'일성아이에스'로 62년 만에 사명 변경,http://www.medisobizanews.com/news/articleView.html?idxno=114908,신제품출시
272450,진에어,www.mk.co.kr,2024-03-22 16:30:00,"“여보야! 우리 괌 갈까?” 노랑풍선, 부산 출발 노옵션·노쇼핑 상품 출시",https://n.news.naver.com/mnews/article/009/0005276742?sid=103,신제품출시
042000,카페24,www.thefirstmedia.net,2024-03-22 17:14:00,"스탠드오일, 24 봄 컬렉션 출시",http://www.thefirstmedia.net/news/articleView.html?idxno=141468,신제품출시
451760,컨텍,www.edaily.co.kr,2024-03-22 13:47:00,"[포토]아이큐에어, 신제품 ‘아템 엑스’ 출시",https://n.news.naver.com/mnews/article/018/0005698182?sid=105,신제품출시
063080,컴투스홀딩스,www.bloter.net,2024-03-22 11:51:00,"컴투스홀딩스, '제노니아' 출시에 전년대비 광고선전비 134.9% 증가",https://n.news.naver.com/mnews/article/293/0000052816?sid=105,신제품출시
445680,큐리옥스바이오시스템즈,www.edaily.co.kr,2024-03-22 10:11:00,"큐리옥스, 올해 신제품 출시·제품 표준화로 매출3배 성장",https://n.news.naver.com/mnews/article/018/0005698000?sid=101,신제품출시
340570,티앤엘,www.pinpointnews.co.kr,2024-03-22 00:32:00,하이로닉 주가 껑충... COEX에서 열린  키메스2024 신제품 주목,https://www.pinpointnews.co.kr/news/articleView.html?idxno=253610,신제품출시
034230,파라다이스,daily.hankooki.com,2024-03-22 09:32:00,"파라다이스 호텔 부산, LG전자 '브리즈' 체험 패키지 출시",https://daily.hankooki.com/news/articleView.html?idxno=1065265,신제품출시
318010,팜스빌,news.mt.co.kr,2024-03-22 18:11:00,"팜스빌, 관절·연골·뼈 건강 '관절건강365MSM' 출시",https://n.news.naver.com/mnews/article/008/0005015821?sid=101,신제품출시
318020,포인트모바일,www.betanews.net:8080,2024-03-22 14:10:00,"콜 오브 듀티: 워존 모바일, 3월 22일 정식 출시",http://www.betanews.net:8080/article/1462563.html,신제품출시
017810,풀무원,www.newspim.com,2024-03-22 18:18:00,"풀무원 올가홀푸드, '무항생제 등심 돈카츠' 2종 출시",https://www.newspim.com/news/view/20240322000945,신제품출시
136480,하림,www.news1.kr,2024-03-22 09:55:00,"하림, 매운맛 라면 시장에 도전장…장인라면 '맵싸한 맛' 출시",https://n.news.naver.com/mnews/article/421/0007429225?sid=101,신제품출시
053300,한국정보인증,kr.aving.net,2024-03-22 14:26:00,갤럭시 최초 AI 태블릿 '삼성 갤럭시 탭 S10' 올여름 출시한다?... 국내외 인...,https://kr.aving.net/news/articleView.html?idxno=1789118,신제품출시
065770,CS,www.sedaily.com,2024-03-22 06:01:00,"""UBS, CS 소액 계좌 수천개 청산 검토""…합병 후 구조조정 지속",https://n.news.naver.com/mnews/article/011/0004316854?sid=104,인수합병
017940,E1,www.asiatime.co.kr,2024-03-22 20:52:00,M&A로 집단에너지 진출하는 E1에 우려 목소리 커져,https://www.asiatime.co.kr/article/20240322500527,인수합병
217730,강스템바이오텍,dealsite.co.kr,2024-03-22 11:24:00,"[제약+] 엔젠바이오, 美CLIA랩 인수 外",https://dealsite.co.kr/articles/119930,인수합병
004990,롯데지주,www.mk.co.kr,2024-03-22 21:02:00,"인수에서 매각으로…신동빈 ‘마지막 경고’, 성장 전략 대전환…롯데의 아픈...",https://n.news.naver.com/mnews/article/024/0000088126?sid=101,인수합병
005300,롯데칠성,dealsite.co.kr,2024-03-22 08:06:00,"롯데칠성, '필리핀 펩시' 인수 부담 어쩌나",https://dealsite.co.kr/articles/119810,인수합병
011170,롯데케미칼,www.mk.co.kr,2024-03-22 21:02:00,"인수에서 매각으로…신동빈 ‘마지막 경고’, 성장 전략 대전환…롯데의 아픈...",https://n.news.naver.com/mnews/article/024/0000088126?sid=101,인수합병
071840,롯데하이마트,www.mk.co.kr,2024-03-22 21:02:00,"인수에서 매각으로…신동빈 ‘마지막 경고’, 성장 전략 대전환…롯데의 아픈...",https://n.news.naver.com/mnews/article/024/0000088126?sid=101,인수합병
302550,리메드,www.hitnews.co.kr,2024-03-22 17:56:00,"리메드, 日 MFC 지분 35% 인수로 '리메드재팬' 100% 자회사 편입",http://www.hitnews.co.kr/news/articleView.html?idxno=53362,인수합병
072870,메가스터디,news.mt.co.kr,2024-03-22 06:05:00,메가스터디+공단기…공정위 M&A 불허,https://n.news.naver.com/mnews/article/008/0005015448?sid=101,인수합병
138040,메리츠금융지주,www.businesspost.co.kr,2024-03-22 14:46:00,"메리츠금융, MBK파트너스에 1조원 대 홈플러스 인수금융 차환 지원",https://www.businesspost.co.kr/BP?command=article_view&num=346563,인수합병
080160,모두투어,news.mtn.co.kr,2024-03-22 17:22:00,[수익 내비게이터] 야놀자의 인수 이슈 지속 '모두투어' VS 업스테이지와 온디...,https://news.mtn.co.kr/news-detail/2024032217144781314,인수합병
086820,바이오솔루션,www.edaily.co.kr,2024-03-22 10:21:00,"엔젠바이오, 미국 샌디에이고 'CLIA랩' 시설 인수",https://n.news.naver.com/mnews/article/018/0005698016?sid=101,인수합병
406820,뷰티스킨,economist.co.kr,2024-03-22 16:21:00,"모건스탠리PE, K-뷰티 선도 기업 ‘스킨이데아’ 인수 완료",https://n.news.naver.com/mnews/article/243/0000057669?sid=101,인수합병
068270,셀트리온,www.medipana.com,2024-03-22 12:02:00,"셀트리온제약, 다케다제약 인수 품목 국산화 마무리 단계 진입",https://www.medipana.com/article/view.php?news_idx=324272&sch_cate=D,인수합병
068760,셀트리온제약,www.medipana.com,2024-03-22 12:02:00,"셀트리온제약, 다케다제약 인수 품목 국산화 마무리 단계 진입",https://www.medipana.com/article/view.php?news_idx=324272&sch_cate=D,인수합병
